videoId,categories
-Zz57ITOYDU,"[('Dance', '0.374249'), ('The Sims 3', '0.369546'), ('The Sims', '0.366968'), ('/m/021bp2', '0.12388'), ('Video game', '0.0592704'), ('Game', '0.0391751'), ('The Sims 2', '0.0295099'), ('Television advertisement', '0.0249056'), ('The Sims 4', '0.0225211'), ('Kinect', '0.0223593'), ('Wii', '0.0164749'), ('Video game console', '0.0160588'), ('Stretching', '0.0130334'), ('Xbox 360', '0.0102753'), ('PlayStation 3', '0.00917394'), ('Animation', '0.00732747'), ('Sonic the Hedgehog', '0.00648391'), ('Trailer (promotion)', '0.00598014'), ('Sports game', '0.00578579'), ('Running', '0.00488799')]"
-_5TZGBWsrE,"[('Cartoon', '0.854183'), ('Drawing', '0.821747'), ('Art', '0.707569'), ('Sketch (drawing)', '0.0697159'), ('Toy', '0.0320057'), ('Animation', '0.0242974'), ('Car', '0.021086'), ('Vehicle', '0.0202844'), ('Animal', '0.00617094'), ('Pencil', '0.00572979'), ('Video game', '0.00556689'), ('Chocolate', '0.00507757'), ('Paper', '0.00471225'), ('Manga', '0.00455097'), ('Sonic the Hedgehog', '0.00451432'), ('Robot', '0.00445838'), ('Cat', '0.00388177'), ('Game', '0.00359588'), ('Food', '0.00331816'), ('Doodle', '0.00321094')]"
-cSvd-Uu7YU,"[('Food', '0.295069'), ('Animal', '0.0843683'), ('Video game', '0.0380025'), ('Forest', '0.0285733'), ('Tree', '0.0206292'), ('Animation', '0.0186388'), ('Bamboo', '0.0185629'), ('Chocolate', '0.018185'), ('Plant', '0.0180324'), ('Photography', '0.0156033'), ('Vehicle', '0.015145'), ('Car', '0.0109759'), ('Television advertisement', '0.0107504'), ('Bee', '0.0106177'), ('Nature', '0.00948726'), ('Trailer (promotion)', '0.00856379'), ('Ant', '0.0069944'), ('Grape', '0.00566936'), ('Olive', '0.00510594'), ('Metal Gear', '0.00507095')]"
-d342sq7QG4,"[('Vehicle', '0.732862'), ('Car', '0.703021'), ('Lamborghini', '0.418272'), ('Sports car', '0.254609'), ('Video game', '0.174477'), ('Supercar', '0.133636'), ('Audi', '0.0579098'), ('Photography', '0.0445468'), ('Audi R8', '0.0363632'), ('Lamborghini Aventador', '0.0351746'), ('Driving', '0.0319177'), ('Need for Speed: Hot Pursuit (2010 video game)', '0.0302185'), ('Game', '0.0272496'), ('Need for Speed', '0.0172755'), ('Nissan GT-R', '0.0163376'), ('Lamborghini Reventón', '0.0162355'), ('/m/0h5wtfh', '0.0157148'), ('Coupé', '0.0117468'), ('Radio-controlled car', '0.00944231'), ('Trailer (promotion)', '0.0092535')]"
-eYfghURQSY,"[('Food', '0.225968'), ('Soft drink', '0.1384'), ('Bottle', '0.128181'), ('Door', '0.121722'), ('Vehicle', '0.0918713'), ('Pepsi', '0.0576201'), ('Coca-Cola', '0.0484859'), ('Car', '0.0477279'), ('Dance', '0.04545'), ('Television advertisement', '0.0314035'), ('Cola', '0.0295421'), ('Drink', '0.0243882'), ('Refrigerator', '0.0243184'), ('Water', '0.0187321'), ('Video game', '0.0180329'), ('Plastic bottle', '0.0158952'), ('Light', '0.0124097'), ('Animal', '0.0107851'), ('Sport stacking', '0.0106754'), ('Animation', '0.00951024')]"
-f0ySjyPBVo,"[('Television advertisement', '0.117654'), ('Photography', '0.082175'), ('Vehicle', '0.0690066'), ('Trailer (promotion)', '0.0363237'), ('Bear', '0.0331689'), ('Car', '0.0318096'), ('Music video', '0.0315199'), ('Animal', '0.0278385'), ('Video game', '0.0193174'), ('Toy', '0.0183743'), ('Zoo', '0.018287'), ('Animation', '0.0150281'), ('Metal Gear', '0.0100938'), ('Bus', '0.0089444'), ('Glasses', '0.00766858'), ('Fashion', '0.00758907'), ('Advertising', '0.00726236'), ('Food', '0.00724957'), ('Canon EOS 7D', '0.00641795'), ('Camera lens', '0.00598164')]"
-fwVRX3KSeo,"[('Vehicle', '0.8612'), ('Car', '0.82403'), ('Mini (marque)', '0.286678'), ('Mini', '0.225153'), ('Video game', '0.0674278'), ('Nissan 350Z', '0.0367292'), ('Roadster (automobile)', '0.0324491'), ('Motorsport', '0.0320852'), ('Nissan Silvia', '0.0311172'), ('Suzuki Jimny', '0.0299117'), ('Game', '0.0292222'), ('/m/0h5wwjv', '0.0235344'), ('Driving', '0.0227556'), ('Mazda MX-5', '0.0213176'), ('Supercar', '0.0189355'), ('Mario Kart', '0.018352'), ('Nissan GT-R', '0.0181905'), ('Sports car', '0.0167737'), ('Subaru Impreza', '0.0158103'), ('Drifting (motorsport)', '0.0139085')]"
-ilNuSh1Fgw,"[('Music video', '0.496965'), ('Guitar', '0.252171'), ('Musician', '0.214857'), ('Animation', '0.0362916'), ('Acoustic guitar', '0.0313909'), ('Choir', '0.0287307'), ('String instrument', '0.0278945'), ('Video game', '0.016163'), ('Performance art', '0.00631245'), ('Christmas', '0.00608065'), ('Sheet music', '0.00468134'), ('Television advertisement', '0.00405132'), ('The Walt Disney Company', '0.00343386'), ('Photography', '0.00338811'), ('Vehicle', '0.00332262'), ('Game', '0.00321242'), ('Church (building)', '0.00300373'), ('University', '0.00260516'), ('Spock', '0.00250322'), ('Car', '0.00227535')]"
-jDdmFynsyw,"[('Vehicle', '0.630623'), ('Car', '0.579719'), ('Television advertisement', '0.106044'), ('Sport utility vehicle', '0.0932156'), ('Cattle', '0.0493077'), ('Animal', '0.041014'), ('Driving', '0.0409773'), ('/m/03hcy1d', '0.0401126'), ('/m/0h5y1j0', '0.0347225'), ('/m/0h5wwjv', '0.0317509'), ('/m/02k_kxs', '0.0311775'), ('Video game', '0.0294417'), ('Photography', '0.0230025'), ('Mobile phone', '0.0161351'), ('Off-road vehicle', '0.0160064'), ('Renault', '0.0137777'), ('Land Rover', '0.0109081'), ('/m/0xm0m9r', '0.0108053'), ('/m/0h5wp8d', '0.0106212'), ('Range Rover', '0.0102759')]"
-jNq_3L_Bpo,"[('Animation', '0.729137'), ('Cartoon', '0.700334'), ('Drawing', '0.0539848'), ('Art', '0.0367052'), ('Stick figure', '0.0235536'), ('Video game', '0.00929469'), ('Dance', '0.00822099'), ('Naruto', '0.00597811'), ('Game', '0.00546676'), ('IPod', '0.00370898'), ('Sasuke Uchiha', '0.00358778'), ('Manga', '0.00307652'), ('Bleach (manga)', '0.00297856'), ('Black Rock Shooter', '0.00269927'), ('Cartoon Network', '0.00237163'), ('Food', '0.0022928'), ('James Bond', '0.00214639'), ('Mobile phone', '0.00205317'), ('Cycling', '0.0019135'), ('Tales (series)', '0.00188307')]"
