ad_id,Has this ad been deleted? Why?,what is the brand?,What is the product?,what is the category of the product?,"Do you believe that this video was sponsored by a commercial brand, public agency (e.g., FIESP/FIEMG/SESI), government agency or an youtuber (famous or not)?","Do you believe this ad employs multimedia (audio, video) or other features in its discourse to attract the attention of children?","Do any well known children character appear on the ad?
",Does this ad advertise a product geared to children?,"Based on your personal beliefs, 
do you think the ad is unsuitable for children?"
ZdfJL6QWNFI,,,,,,,,,
EXwX70TiGqw,,,,,,,,,
45WDnXY1uDg,,,,,,,,,
fpc9kIa8Ubg,,,,,,,,,
UTuB1zH-V5Q,,,,,,,,,
HiK79IyS-ZY,,,,,,,,,
r_3ZFRoWpSE,,,,,,,,,
g9JIquykHZc,,,,,,,,,
A57pLt8we4Q,,,,,,,,,
VpeSfF34wt4,,,,,,,,,
otSo3ZcjEOk,,,,,,,,,
WMFDt5nR-JY,,,,,,,,,
tWZt91Y5yUE,,,,,,,,,
BnWR_-RgCJo,,,,,,,,,
7AA0awrRzKs,,,,,,,,,
WM8EI3CvMeg,,,,,,,,,
fNJHqP-BN-I,,,,,,,,,
3FXSiV9J5n8,,,,,,,,,
pvVdo0oHy1c,,,,,,,,,
om9zH6wRCQs,,,,,,,,,
coPq2WZWVZI,,,,,,,,,
JhR5pRPQHbw,,,,,,,,,
HuwdyvrH91M,,,,,,,,,
b4C1aZb8DT8,,,,,,,,,
9gCURFT9SLI,,,,,,,,,
A7xA6x32Eok,,,,,,,,,
SsE7mXgip48,,,,,,,,,
RKBFEorJAK8,,,,,,,,,
2xWVVA3peYY,,,,,,,,,
562qgVX8B8A,,,,,,,,,
PREDAzYvHVM,,,,,,,,,
2_sOoViw7_Y,,,,,,,,,
m3rUme1kop4,,,,,,,,,
W9Z4_E9bNfA,,,,,,,,,
P3I2XCwacvo,,,,,,,,,
bCZPqeaLKeA,,,,,,,,,
BiLSzGStxho,,,,,,,,,
_FXa6iP8NGQ,,,,,,,,,
GidjAB9dgoo,,,,,,,,,
OqaDg_sIPHg,,,,,,,,,
lVQ0dsCdsOs,,,,,,,,,
ACYL1jNxQio,,,,,,,,,
oNvpJSIkgHM,,,,,,,,,
jQV940ug6ls,,,,,,,,,
z1cjbFSwUa0,,,,,,,,,
-saZYcGKv4E,,,,,,,,,
yh1Gemdk5VY,,,,,,,,,
axO8kJMScrE,,,,,,,,,
utWPvjb8S0k,,,,,,,,,
-Z5fDjEBgEk,,,,,,,,,
JTuYMmm9gro,,,,,,,,,
Piu3gJJa5fs,,,,,,,,,
UvjMNvccAog,,,,,,,,,
sa4Ug2WZPnM,,,,,,,,,
9Ur8d5Vk8iE,,,,,,,,,
By5n7hSW6Vs,,,,,,,,,
wfDPnm0Yyus,,,,,,,,,
SQLVzasc3hc,,,,,,,,,
wqHPCiP8LR0,,,,,,,,,
mbv0FR8vwzg,,,,,,,,,
GvLjXPfMOos,,,,,,,,,
a5xt887Ey1E,,,,,,,,,
aUc7oVgIOF0,,,,,,,,,
Y0f83fWVQ_Q,,,,,,,,,
-jNq_3L_Bpo,,,,,,,,,
SHsnmeoOL6Q,,,,,,,,,
shUAVia_cFs,,,,,,,,,
BuupTEmDeeg,,,,,,,,,
2IrkCmZw-H0,,,,,,,,,
vudBKHcBWaQ,,,,,,,,,
41QKxzBmH-4,,,,,,,,,
3oRMnKtVc2o,,,,,,,,,
QrfdD9sumOk,,,,,,,,,
-YqRXbAI0wM,,,,,,,,,
